timestamps,data
2024-06-12 14:00:33,208432
2024-06-12 14:00:34,208433
2024-06-12 14:00:34,208434
2024-06-12 14:00:34,208435
2024-06-12 14:00:34,208436
2024-06-12 14:00:34,208437
2024-06-12 14:00:34,208438
2024-06-12 14:00:34,208439
2024-06-12 14:00:34,208440
2024-06-12 14:00:34,208441
2024-06-12 14:00:34,208442
2024-06-12 14:00:35,208443
2024-06-12 14:00:35,208444
2024-06-12 14:00:35,208445
2024-06-12 14:00:35,208446
2024-06-12 14:00:35,208447
2024-06-12 14:00:35,208448
2024-06-12 14:00:35,208449
2024-06-12 14:00:35,208450
2024-06-12 14:00:35,208451
2024-06-12 14:00:35,208452
2024-06-12 14:00:36,208453
2024-06-12 14:00:36,208454
2024-06-12 14:00:36,208455
2024-06-12 14:00:36,208456
2024-06-12 14:00:36,208457
2024-06-12 14:00:36,208458
2024-06-12 14:00:36,208459
2024-06-12 14:00:36,208460
2024-06-12 14:00:36,208461
2024-06-12 14:00:36,208462
2024-06-12 14:00:37,208463
2024-06-12 14:00:37,208464
2024-06-12 14:00:37,208465
2024-06-12 14:00:37,208466
2024-06-12 14:00:37,208467
2024-06-12 14:00:37,208468
2024-06-12 14:00:37,208469
2024-06-12 14:00:37,208470
2024-06-12 14:00:37,208471
2024-06-12 14:00:37,208472
2024-06-12 14:00:38,208473
2024-06-12 14:00:38,208474
2024-06-12 14:00:38,208475
2024-06-12 14:00:38,208476
2024-06-12 14:00:38,208477
2024-06-12 14:00:38,208478
2024-06-12 14:00:38,208479
2024-06-12 14:00:38,208480
2024-06-12 14:00:38,208481
2024-06-12 14:00:39,208482
2024-06-12 14:00:39,208483
2024-06-12 14:00:39,208484
2024-06-12 14:00:39,208485
2024-06-12 14:00:39,208486
2024-06-12 14:00:39,208487
2024-06-12 14:00:39,208488
2024-06-12 14:00:39,208489
2024-06-12 14:00:39,208490
2024-06-12 14:00:39,208491
2024-06-12 14:00:40,208492
2024-06-12 14:00:40,208493
2024-06-12 14:00:40,208494
2024-06-12 14:00:40,208495
2024-06-12 14:00:40,208496
2024-06-12 14:00:40,208497
2024-06-12 14:00:40,208498
2024-06-12 14:00:40,208499
2024-06-12 14:00:40,208500
2024-06-12 14:00:40,208501
2024-06-12 14:00:41,208502
2024-06-12 14:00:41,208503
2024-06-12 14:00:41,208504
2024-06-12 14:00:41,208505
2024-06-12 14:00:41,208506
2024-06-12 14:00:41,208507
2024-06-12 14:00:41,208508
2024-06-12 14:00:41,208509
2024-06-12 14:00:41,208510
2024-06-12 14:00:41,208511
2024-06-12 14:00:42,208512
2024-06-12 14:00:42,208513
2024-06-12 14:00:42,208514
2024-06-12 14:00:42,208515
